property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
Nhà hẻm ngõ,2.8,80.0,m²,3.0,2.0,,20.0,"Đường 2 Tháng 4, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Tây Bắc,4.0,Tây Bắc,2.8,"80 m²(4,0x20,0)",3 phòng,2 WC,Thiên
Nhà mặt tiền,4.2,242.0,m²,11.0,,,22.0,"Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Nam,12.0,,4.2,"242 m²(12,0x22,0)",11 phòng,,Thiên
Nhà mặt tiền,2.65,86.0,m²,2.0,2.0,,16.0,"Đường Nguyễn Đức Thuận, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Bắc,5.2,Bắc,2.65,"86 m²(5,2x16,0)",2 phòng,2 WC,Thiên
Nhà hẻm ngõ,2.65,84.0,m²,3.0,3.0,3.0,13.0,"Đường Điện Biên Phủ, Phường Vĩnh Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Đông Nam,6.4,Đông Nam,2.65,"84 m²(6,4x13,0)",3 phòng,3 WC,Thiên
Nhà hẻm ngõ,1.7,94.0,m²,2.0,1.0,,20.0,"Đường Nguyễn Khuyến, Xã Vĩnh Ngọc, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Sổ hồng,Đông Nam,5.0,Đông Nam,1.7,"94 m²(5,0x20,0)",2 phòng,1 WC,Thiên
Nhà mặt tiền,7.5,89.6,m²,3.0,3.0,3.0,,"Phường Phước Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,,,,7.5,"89,6 m²",3 phòng,3 WC,Thiên
Nhà mặt tiền,12.5,3000.0,m²,2.0,2.0,1.0,50.0,"Xã Khánh Phú, Huyện Khánh Vĩnh, Khánh Hòa",Khánh Hòa,Huyện Khánh Vĩnh,Giấy tờ hợp lệ,Nam,60.0,,12.5,"3.000 m²(60,0x50,0)",2 phòng,2 WC,Thiên
Nhà mặt tiền,20.5,92.4,m²,11.0,7.0,7.0,,"Phường Phước Tiến, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Nam,,,20.5,"92,4 m²",11 phòng,7 WC,Thiên
Nhà mặt tiền,7.5,50.5,m²,3.0,2.0,3.0,,"Phường Phước Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Tây,,,7.5,"50,5 m²",3 phòng,2 WC,Thiên
Nhà mặt tiền,5.99,50.0,m²,3.0,3.0,4.0,15.0,"Phường Phước Hòa, TP. Nha Trang, Khánh Hòa",Khánh Hòa,TP. Nha Trang,Giấy tờ hợp lệ,Đông Bắc,3.4,,5.99,"50 m²(3,4x15,0)",3 phòng,3 WC,Thiên
