property_type,price,area,n_bedrooms,n_bathrooms,n_floors,legal,interior,front_road_width,latitude,longitude,address,district,city_province
Căn hộ chung cư,3.7,81.0,3,2,3,Sổ đỏ/ Sổ hồng,Cơ bản,,10.8435620583104,106.842995575832,"Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",Quận 9,Hồ Chí Minh
Căn hộ chung cư,3.99,49.0,1,1,3,Sổ đỏ/ Sổ hồng,Nội thất đã trang bị đầy đủ,,21.001970603505523,105.9424611764818,"Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Gia Lâm,Hà Nội
Căn hộ chung cư,2.15,55.0,2,2,3,Hợp đồng mua bán,Cơ bản,,10.7093601717892,106.642264367857,"Sài Gòn Intela, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",Bình Chánh,Hồ Chí Minh
Căn hộ chung cư,5.5,62.8,2,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.0062486608424,105.736884051439,"Dự án The Sapphire-Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Căn hộ chung cư,8.6,70.0,2,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,21.0057373290035,105.794345930199,"Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,Hà Nội
Căn hộ chung cư,22.0,143.0,3,3,3,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.7536518288404,106.67835654689,"Dự án Kiều by KITA, Đường Trần Hưng Đạo, Phường 1, Quận 5, Hồ Chí Minh",Quận 5,Hồ Chí Minh
Căn hộ chung cư,8.2,95.0,3,2,3,HĐMB,Đầy đủ,,10.7506174958708,106.723490821411,"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Căn hộ chung cư,3.5,67.0,2,2,3,Hợp đồng mua bán,Cơ bản,,10.7175155156102,106.742067543186,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,9.1,63.0,4,5,4,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.7430328030964,106.725582355903,"Hẻm 21, Đường Lý Phục Man, Phường Bình Thuận, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,15.8,45.0,3,3,7,Sổ đỏ/ Sổ hồng,Đầy đủ,4.8,21.0297012712805,105.774763944957,"Đường Mỹ Đình 1, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,Hà Nội
Nhà riêng,25.8,100.0,4,5,7,Sổ đỏ/ Sổ hồng,Đầy đủ,4.5,21.0656812655809,105.898448624312,"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",Long Biên,Hà Nội
Nhà riêng,5.39,64.0,3,4,2,Sổ đỏ/ Sổ hồng,Cơ bản,4.0,10.8424760150675,106.630405540173,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",Quận 12,Hồ Chí Minh
Nhà riêng,6.5,45.06,3,3,2,Sổ đỏ/ Sổ hồng,Đầy đủ,6.57,10.756238237084,106.723002252785,"Đường Trần Văn Khánh, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",Quận 7,Hồ Chí Minh
Nhà riêng,24.5,124.2,6,6,5,Sổ đỏ/ Sổ hồng,Đầy đủ,,10.8059790133503,106.667884047673,"Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",Tân Bình,Hồ Chí Minh
Nhà riêng,14.76,86.5,11,11,6,Sổ đỏ/ Sổ hồng,Đầy đủ,6.0,10.845161768287,106.642394383085,"518 Phạm Văn Chiêu, 8, Gò Vấp, Hồ Chí Minh",Gò Vấp,Hồ Chí Minh
Nhà riêng,3.3,86.2,4,2,3,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,10.874764362958,106.915827055354,"Đường Hồ Văn Huê, Phường Phước Tân, Biên Hòa, Đồng Nai",Biên Hòa,Đồng Nai
Nhà riêng,21.5,72.0,5,,5,Sổ đỏ/ Sổ hồng,,6.0,20.9592743800033,105.785753846652,"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",Hà Đông,Hà Nội
