,property_type,price,area,area_unit,n_bedrooms,n_bathrooms,n_floors,dimension_2,address,city_province,district,legal_docs,facing_direction,front_width,balcony_direction,raw_price,raw_area,raw_n_bedrooms,raw_n_bathrooms,scraper
1845,Nhà mặt tiền,8.2,90.0,m²,4.0,3.0,3.0,15.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,6.0,,8.2,"90 m²(6,0x15,0)",4 phòng,3 WC,Thiên
1846,Nhà mặt tiền,6.09,80.0,m²,4.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,5.0,,6.09,"80 m²(5,0x16,0)",4 phòng,4 WC,Thiên
1847,Nhà hẻm ngõ,5.58,62.0,m²,3.0,4.0,2.0,15.3,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.0,,5.58,"62 m²(4,0x15,3)",3 phòng,4 WC,Thiên
1848,Nhà mặt tiền,5.59,85.0,m²,4.0,5.0,3.0,17.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,5.59,"85 m²(5,0x17,0)",4 phòng,5 WC,Thiên
1849,Nhà mặt tiền,5.89,85.0,m²,4.0,5.0,3.0,15.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Đang chờ sổ,Đông Bắc,5.0,,5.89,"85 m²(5,0x15,0)",4 phòng,5 WC,Thiên
1850,Nhà mặt tiền,4.3,80.0,m²,3.0,3.0,2.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,5.0,,4.3,"80 m²(5,0x16,0)",3 phòng,3 WC,Thiên
1851,Nhà hẻm ngõ,2.2,87.0,m²,3.0,2.0,1.0,18.5,"Phường Ba Láng, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Bắc,4.5,,2.2,"87 m²(4,5x18,5)",3 phòng,2 WC,Thiên
1852,Nhà mặt tiền,6.9,98.0,m²,2.0,3.0,2.0,22.0,"148/94, Đường 3 Tháng 2, Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Sổ đỏ,Đông Nam,4.0,Đông Nam,6.9,"98 m²(4,0x22,0)",2 phòng,3 WC,Thiên
1853,Nhà mặt tiền,2.2,87.0,m²,3.0,2.0,2.0,19.0,"Phường Lê Bình, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,4.6,,2.2,"87 m²(4,6x19,0)",3 phòng,2 WC,Thiên
1854,Nhà hẻm ngõ,3.45,51.4,m²,3.0,3.0,2.0,10.5,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,5.0,,3.45,"51,4 m²(5,0x10,5)",3 phòng,3 WC,Thiên
1855,Nhà mặt tiền,2.3,11.5,m²,2.0,1.0,1.0,3.4,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,3.3,,2.3,"11,5 m²(3,3x3,4)",2 phòng,1 WC,Thiên
1856,Nhà mặt tiền,6.1,80.0,m²,5.0,4.0,3.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Đang chờ sổ,Đông Nam,5.0,,6.1,"80 m²(5,0x16,0)",5 phòng,4 WC,Thiên
1857,Nhà hẻm ngõ,3.65,63.0,m²,3.0,2.0,2.0,15.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.3,,3.65,"63 m²(4,3x15,0)",3 phòng,2 WC,Thiên
1858,Nhà mặt tiền,8.8,90.0,m²,3.0,4.0,2.0,20.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.5,,8.8,"90 m²(4,5x20,0)",3 phòng,4 WC,Thiên
1859,Nhà mặt tiền,6.1,80.0,m²,4.0,,2.0,16.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,,5.0,,6.1,"80 m²(5,0x16,0)",4 phòng,,Thiên
1860,Nhà mặt tiền,2.29,40.0,m²,2.0,2.0,2.0,10.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Bắc,4.0,,2.29,"40 m²(4,0x10,0)",2 phòng,2 WC,Thiên
1861,Nhà mặt tiền,3.09,63.9,m²,3.0,2.0,2.0,16.0,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.0,,3.09,"63,9 m²(4,0x16,0)",3 phòng,2 WC,Thiên
1862,Nhà mặt tiền,5.9,85.0,m²,4.0,,2.0,17.0,"Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ",Cần Thơ,Quận Cái Răng,Giấy tờ hợp lệ,Đông Nam,5.0,,5.9,"85 m²(5,0x17,0)",4 phòng,,Thiên
1863,Nhà hẻm ngõ,0.87,31.0,m²,2.0,2.0,1.0,7.0,"Phường Bình Thủy, Quận Bình Thuỷ, Cần Thơ",Cần Thơ,Quận Bình Thuỷ,Giấy tờ hợp lệ,Tây Nam,4.3,,0.87,"31 m²(4,3x7,0)",2 phòng,2 WC,Thiên
1864,Nhà mặt tiền,8.29,50.8,m²,4.0,4.0,3.0,15.6,"Phường An Cư, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,3.3,,8.29,"50,8 m²(3,3x15,6)",4 phòng,4 WC,Thiên
1865,Nhà mặt tiền,3.25,74.0,m²,3.0,3.0,,16.0,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,,4.5,,3.25,"74 m²(4,5x16,0)",3 phòng,3 WC,Thiên
1866,Nhà mặt tiền,7.39,104.0,m²,3.0,3.0,2.0,24.0,"Phường An Bình, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Nam,4.5,,7.39,"104 m²(4,5x24,0)",3 phòng,3 WC,Thiên
1867,Nhà hẻm ngõ,2.65,81.6,m²,2.0,2.0,,17.0,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Đông Bắc,4.8,,2.65,"81,6 m²(4,8x17,0)",2 phòng,2 WC,Thiên
1868,Nhà hẻm ngõ,4.35,137.0,m²,7.0,7.0,2.0,27.5,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Cần Thơ,Quận Ninh Kiều,Giấy tờ hợp lệ,Tây Nam,5.0,,4.35,"137 m²(5,0x27,5)",7 phòng,7 WC,Thiên
